Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3662682420.824617,283.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682420.924599,285.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682421.025017,286.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682421.125315,288.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682421.225373,290.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682421.325369,292.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682421.425364,294.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682421.526739,295.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682421.626482,297.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682421.727991,298.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682421.827540,301.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682421.927918,302.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682422.028678,304.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682422.128370,305.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682422.228397,306.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682422.329897,308.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682422.430959,310.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682422.530702,312.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682422.630826,314.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
3662682422.731181,315.000000,359.000000,0.000000,98.371918,1.531331,98.877762,1.608088,93.736325,1.562237,94.986460,1.505063,100.836713,1.502598,99.592243,1.597848,93.733955,1.487836,93.618891,1.633094,95.064710,1.621995,96.732115,1.666378,96.753161,1.668423,91.568039,1.631339,88.757840,1.620205,94.113587,1.604164,89.261596,1.670200,98.793204,1.714719,94.470782,1.588430,103.838390,1.695399,101.571109,1.695573,92.854081,1.656892,98.641110,1.694534,93.998414,1.760826,95.391231,1.663546,90.119436,1.737181,101.091204,1.754842
