Time,Angle (A),Angle (B),BER,Ch 00 (Mag),Ch 00 (Pha),Ch 01 (Mag),Ch 01 (Pha),Ch 02 (Mag),Ch 02 (Pha),Ch 03 (Mag),Ch 03 (Pha),Ch 04 (Mag),Ch 04 (Pha),Ch 05 (Mag),Ch 05 (Pha),Ch 06 (Mag),Ch 06 (Pha),Ch 07 (Mag),Ch 07 (Pha),Ch 08 (Mag),Ch 08 (Pha),Ch 09 (Mag),Ch 09 (Pha),Ch 10 (Mag),Ch 10 (Pha),Ch 11 (Mag),Ch 11 (Pha),Ch 12 (Mag),Ch 12 (Pha),Ch 13 (Mag),Ch 13 (Pha),Ch 14 (Mag),Ch 14 (Pha),Ch 15 (Mag),Ch 15 (Pha),Ch 16 (Mag),Ch 16 (Pha),Ch 17 (Mag),Ch 17 (Pha),Ch 18 (Mag),Ch 18 (Pha),Ch 19 (Mag),Ch 19 (Pha),Ch 20 (Mag),Ch 20 (Pha),Ch 21 (Mag),Ch 21 (Pha),Ch 22 (Mag),Ch 22 (Pha),Ch 23 (Mag),Ch 23 (Pha),Ch 24 (Mag),Ch 24 (Pha)
3662682420.824617,283.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682420.924599,285.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682421.025017,286.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682421.125315,288.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682421.225373,290.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682421.325369,292.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682421.425364,294.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682421.526739,295.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682421.626482,297.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682421.727991,298.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682421.827540,301.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682421.927918,302.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682422.028678,304.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682422.128370,305.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682422.228397,306.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682422.329897,308.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682422.430959,310.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682422.530702,312.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682422.630826,314.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
3662682422.731181,315.000000,359.000000,0.000000,28.819229,-2.155355,29.310570,-2.177313,29.382634,-2.195873,23.106394,-2.240852,24.530017,-2.286807,21.734281,-2.164439,24.673327,-2.360353,27.837947,-2.325473,21.501638,-2.345456,25.138217,-2.309049,28.662669,-2.433564,23.110503,-2.377942,24.495092,-2.438062,25.363788,-2.787894,22.444053,-2.519151,23.488707,-2.535916,26.283037,-2.876169,22.604753,-2.642343,28.325655,-2.749380,27.088550,-3.034961,22.501981,-3.006208,27.612162,-2.807717,28.569087,-2.877695,29.115102,3.127918,28.181795,-2.926623
